../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1/
Normalize the input for the first 128 dim with total 167 dim
# Training model ----------------
# Train epoch 0 ----------------
Batch 17400: loss 0.000283, reg: 3.76e-07
Batch 17500: loss 0.000282, reg: 3.75e-07
Batch 17600: loss 0.000282, reg: 3.74e-07
Batch 17700: loss 0.000283, reg: 3.74e-07
Batch 17800: loss 0.000283, reg: 3.73e-07
Batch 17900: loss 0.000284, reg: 3.73e-07
Batch 18000: loss 0.000283, reg: 3.72e-07
Batch 18100: loss 0.000283, reg: 3.71e-07
Batch 18200: loss 0.000283, reg: 3.71e-07
Batch 18300: loss 0.000283, reg: 3.7e-07
Batch 18400: loss 0.000284, reg: 3.7e-07
Batch 18500: loss 0.000284, reg: 3.69e-07
Batch 18600: loss 0.000284, reg: 3.69e-07
Batch 18700: loss 0.000284, reg: 3.68e-07
Batch 18800: loss 0.000285, reg: 3.68e-07
Batch 18900: loss 0.000285, reg: 3.67e-07
Batch 19000: loss 0.000284, reg: 3.67e-07
Batch 19100: loss 0.000285, reg: 3.67e-07
Batch 19200: loss 0.000285, reg: 3.66e-07
Batch 19300: loss 0.000285, reg: 3.66e-07
Batch 19400: loss 0.000285, reg: 3.65e-07
Batch 19500: loss 0.000284, reg: 3.65e-07
Batch 19600: loss 0.000284, reg: 3.65e-07
Batch 19700: loss 0.000284, reg: 3.64e-07
Batch 19800: loss 0.000284, reg: 3.64e-07
Batch 19900: loss 0.000283, reg: 3.63e-07
Batch 20000: loss 0.000283, reg: 3.63e-07
Batch 20100: loss 0.000286, reg: 3.63e-07
Batch 20200: loss 0.000286, reg: 3.62e-07
Batch 20300: loss 0.000287, reg: 3.62e-07
Batch 20400: loss 0.000288, reg: 3.61e-07
# Val epoch 1 ----------------
Batch 0: loss 0.000634, reg: 2.78e-07
Epoch 1:train => loss 0.000288, reg: 3.61e-07, pea: 0.156, r2 0.0234 val => loss 0.000279, reg: 2.78e-07, pea: 0.149, r2 0.00465 
# Train epoch 2 ----------------
Batch 0: loss 0.000287, reg: 2.78e-07
Batch 100: loss 0.000187, reg: 2.78e-07
Batch 200: loss 0.000207, reg: 2.78e-07
Batch 300: loss 0.00024, reg: 2.77e-07
Batch 400: loss 0.000247, reg: 2.77e-07
Batch 500: loss 0.000245, reg: 2.76e-07
Batch 600: loss 0.000241, reg: 2.76e-07
Batch 700: loss 0.000234, reg: 2.76e-07
Batch 800: loss 0.000231, reg: 2.75e-07
Batch 900: loss 0.000258, reg: 2.75e-07
Batch 1000: loss 0.000286, reg: 2.75e-07
Batch 1100: loss 0.000299, reg: 2.75e-07
Batch 1200: loss 0.000299, reg: 2.75e-07
Batch 1300: loss 0.000293, reg: 2.76e-07
Batch 1400: loss 0.000293, reg: 2.76e-07
Batch 1500: loss 0.000295, reg: 2.76e-07
Batch 1600: loss 0.000307, reg: 2.77e-07
Batch 1700: loss 0.000303, reg: 2.77e-07
Batch 1800: loss 0.000304, reg: 2.78e-07
Batch 1900: loss 0.000304, reg: 2.78e-07
Batch 2000: loss 0.000306, reg: 2.79e-07
Batch 2100: loss 0.000303, reg: 2.79e-07
Batch 2200: loss 0.0003, reg: 2.79e-07
Batch 2300: loss 0.0003, reg: 2.79e-07
Batch 2400: loss 0.000302, reg: 2.79e-07
Batch 2500: loss 0.000302, reg: 2.8e-07
Batch 2600: loss 0.000299, reg: 2.8e-07
Batch 2700: loss 0.000298, reg: 2.8e-07
Batch 2800: loss 0.000295, reg: 2.8e-07
Batch 2900: loss 0.000292, reg: 2.8e-07
Batch 3000: loss 0.00029, reg: 2.8e-07
Batch 3100: loss 0.000288, reg: 2.79e-07
Batch 3200: loss 0.000288, reg: 2.79e-07
Batch 3300: loss 0.000287, reg: 2.79e-07
Batch 3400: loss 0.000284, reg: 2.79e-07
Batch 3500: loss 0.000283, reg: 2.79e-07
Batch 3600: loss 0.000284, reg: 2.78e-07
Batch 3700: loss 0.000283, reg: 2.78e-07
Batch 3800: loss 0.00028, reg: 2.78e-07
Batch 3900: loss 0.000278, reg: 2.77e-07
Batch 4000: loss 0.00028, reg: 2.77e-07
Batch 4100: loss 0.000281, reg: 2.77e-07
Batch 4200: loss 0.000281, reg: 2.77e-07
Batch 4300: loss 0.000283, reg: 2.76e-07
Batch 4400: loss 0.000282, reg: 2.76e-07
Batch 4500: loss 0.000281, reg: 2.76e-07
Batch 4600: loss 0.00028, reg: 2.76e-07
Batch 4700: loss 0.000279, reg: 2.75e-07
