num_hours_pred,add_missing,identifier,num_hidden,num_layers,l2_penalty,pos_cls_ratio,n_mc_smps,,,,test_loss,test_reg_loss,test_acc,test_true_positive,test_auroc,test_aupr,best_model_idx,num_epochs_run
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh4-nl3-c1e-04-keeprate0.9_0.9_0.7-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,4,3,0.0001,1,1,0.9,0.9,0.7,0.000831739328659,1.11446482649638E-05,0.941730789501423,0,0.896276409637905,0.530921476471538,6,11
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh32-nl2-c1e-03-keeprate0.5_0.9_0.5-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,32,2,0.001,1,1,0.5,0.9,0.5,0.000107961026814,5.45350485481322E-06,0.941529426784118,0,0.897576086152024,0.51947715242882,7,12
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh8-nl3-c1e-03-keeprate0.5_0.9_0.7-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,8,3,0.001,1,1,0.5,0.9,0.7,0.000112442192627,6.8414559040869E-06,0.941529426784118,0,0.890454460974186,0.503041587491862,6,11
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh32-nl2-c1e-05-keeprate0.5_0.7_0.7-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,32,2,1E-05,1,1,0.5,0.7,0.7,8.09033782396116E-05,7.20761720061539E-06,0.941529426784118,0,0.917845981463663,0.588504065990561,2,7
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh64-nl3-c1e-04-keeprate0.7_0.5_0.5-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,64,3,0.0001,1,1,0.7,0.5,0.5,9.93083142374451E-05,5.69010652335627E-06,0.941529426784118,0,0.915058988971949,0.561095495626247,12,17
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh32-nl3-c1e-04-keeprate0.7_0.9_0.5-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,32,3,0.0001,1,1,0.7,0.9,0.5,0.000771934691299,1.52359872914951E-05,0.941730789501423,0,0.905584516915616,0.553843693204196,14,19
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh32-nl1-c1e-05-keeprate0.9_0.7_0.9-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,32,1,1E-05,1,1,0.9,0.7,0.9,0.000648688422209,1.53476018992149E-05,0.94225782649942,0.009406657018813,0.917289878232108,0.591409200404158,17,22
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh4-nl2-c1e-04-keeprate0.9_0.9_0.5-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,4,2,0.0001,1,1,0.9,0.9,0.5,0.00010348129187,4.48529433000774E-06,0.941529426784118,0,0.911228496944876,0.569610139821548,3,8
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh32-nl2-c1e-04-keeprate0.9_0.5_0.7-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,32,2,0.0001,1,1,0.9,0.5,0.7,0.000817322172814,2.2732762342184E-05,0.941730789501423,0,0.883705028703017,0.534721949379937,9,14
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh4-nl2-c1e-05-keeprate0.5_0.7_0.7-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,4,2,1E-05,1,1,0.5,0.7,0.7,0.000813326840631,4.74944667255225E-06,0.941730789501423,0,0.895602010466553,0.539459866183187,9,14
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh64-nl2-c1e-05-keeprate0.7_0.7_0.7-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,64,2,1E-05,1,1,0.7,0.7,0.7,7.57715306962732E-05,5.45995527996667E-06,0.941529426784118,0,0.929474522816799,0.613792015411305,18,23
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh64-nl2-c1e-04-keeprate0.7_0.5_0.9-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,64,2,0.0001,1,1,0.7,0.5,0.9,9.78482190925883E-05,5.53153083837103E-06,0.941529426784118,0,0.919710186761404,0.582134801883726,20,25
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh32-nl2-c1e-05-keeprate0.7_0.5_0.7-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,32,2,1E-05,1,1,0.7,0.5,0.7,0.000692957676645,2.16718973438585E-05,0.943269737535575,0.031114327062229,0.897510832615403,0.551759439327221,5,10
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh64-nl2-c1e-04-keeprate0.7_0.9_0.5-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,64,2,0.0001,1,1,0.7,0.9,0.5,0.000788627370122,2.5922367569164E-05,0.941730789501423,0,0.903695047545067,0.547879601381795,10,15
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh16-nl3-c1e-03-keeprate0.5_0.5_0.5-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,16,3,0.001,1,1,0.5,0.5,0.5,0.000106585199013,5.92307760454123E-06,0.941529426784118,0,0.887871582003141,0.495401230333611,9,14
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh8-nl3-c1e-04-keeprate0.9_0.5_0.9-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,8,3,0.0001,1,1,0.9,0.5,0.9,9.76559735776418E-05,4.61129266546951E-06,0.941529426784118,0,0.916331869505506,0.571930055174175,19,24
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh16-nl1-c1e-03-keeprate0.5_0.5_0.7-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,16,1,0.001,1,1,0.5,0.5,0.7,0.000764659154454,1.11153962568347E-05,0.941730789501423,0,0.882645870057987,0.502836235061868,13,18
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh64-nl1-c1e-04-keeprate0.5_0.7_0.5-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,64,1,0.0001,1,1,0.5,0.7,0.5,6.46705068470705E-05,7.09013011868275E-06,0.941529426784118,0,0.91139767596773,0.547451895610099,7,12
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh4-nl2-c1e-04-keeprate0.9_0.7_0.7-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,4,2,0.0001,1,1,0.9,0.7,0.7,9.91455793699858E-05,4.33351231058912E-06,0.941529426784118,0,0.914641436196021,0.577985115757546,9,14
